,Name,DIY,Buy_Price,Sell_Price,Color_1,Color_2,Style,type,Balance
0,A tee,No,560,140,Blue,White,Simple,Top,-420
1,acid-washed jacket,No,1680,420,Blue,Blue,Simple,Top,-1260
2,acid-washed jacket,No,1680,420,Black,Black,Simple,Top,-1260
3,after-school jacket,No,1050,262,Black,Red,Cool,Top,-788
4,after-school jacket,No,1050,262,Red,Green,Cool,Top,-788
5,after-school jacket,No,1050,262,Green,Yellow,Cool,Top,-788
6,after-school jacket,No,1050,262,White,Black,Cool,Top,-788
7,after-school jacket,No,1050,262,Purple,Blue,Cool,Top,-788
8,after-school jacket,No,1050,262,Gray,White,Cool,Top,-788
9,after-school jacket,No,1050,262,Blue,Purple,Cool,Top,-788
10,animal-print coat,No,2320,580,Blue,Light blue,Cute,Top,-1740
11,animal-print coat,No,2320,580,Green,Green,Cute,Top,-1740
12,animal-print coat,No,2320,580,Purple,Purple,Cute,Top,-1740
13,animal-print coat,No,2320,580,Pink,Pink,Cute,Top,-1740
14,animal-stripes tee,No,960,240,Yellow,Black,Cool,Top,-720
15,animal-stripes tee,No,960,240,Gray,Black,Cool,Top,-720
16,annyeong tee,No,640,160,Light blue,White,Simple,Top,-480
17,anorak jacket,No,1400,350,Beige,Beige,Simple,Top,-1050
18,anorak jacket,No,1400,350,Red,Red,Simple,Top,-1050
19,anorak jacket,No,1400,350,Blue,Blue,Simple,Top,-1050
20,apron,No,840,210,Orange,White,Simple,Top,-630
21,apron,No,840,210,Green,White,Simple,Top,-630
22,apron,No,840,210,Blue,White,Simple,Top,-630
23,apron,No,840,210,Pink,White,Simple,Top,-630
24,apron,No,840,210,Light blue,White,Simple,Top,-630
25,apron,No,840,210,Purple,White,Simple,Top,-630
26,apron,No,840,210,Gray,White,Simple,Top,-630
27,apron,No,840,210,Brown,White,Simple,Top,-630
28,Aran-knit cardigan,No,1300,325,Beige,Beige,Simple,Top,-975
29,Aran-knit cardigan,No,1300,325,Light blue,Light blue,Simple,Top,-975
30,Aran-knit cardigan,No,1300,325,Pink,Pink,Simple,Top,-975
31,Aran-knit cardigan,No,1300,325,Yellow,Yellow,Simple,Top,-975
32,Aran-knit sweater,No,1200,300,Red,Red,Simple,Top,-900
33,Aran-knit sweater,No,1200,300,White,White,Simple,Top,-900
34,Aran-knit sweater,No,1200,300,Gray,Gray,Simple,Top,-900
35,Aran-knit sweater,No,1200,300,Green,Green,Simple,Top,-900
36,Aran-knit sweater,No,1200,300,Black,Black,Simple,Top,-900
37,Aran-knit sweater,No,1200,300,Orange,Orange,Simple,Top,-900
38,Aran-knit sweater,No,1200,300,Blue,Blue,Simple,Top,-900
39,argyle sweater,No,1200,300,Green,Red,Simple,Top,-900
40,argyle sweater,No,1200,300,Gray,Purple,Simple,Top,-900
41,argyle sweater,No,1200,300,Yellow,White,Simple,Top,-900
42,argyle sweater,No,1200,300,Black,Blue,Simple,Top,-900
43,argyle sweater,No,1200,300,Red,Gray,Simple,Top,-900
44,argyle sweater,No,1200,300,Purple,White,Simple,Top,-900
45,argyle sweater,No,1200,300,Pink,Orange,Simple,Top,-900
46,argyle sweater,No,1200,300,White,Green,Simple,Top,-900
47,argyle vest,No,1440,360,Blue,Light blue,Simple,Top,-1080
48,argyle vest,No,1440,360,Pink,White,Simple,Top,-1080
49,argyle vest,No,1440,360,Brown,White,Simple,Top,-1080
50,argyle vest,No,1440,360,Red,White,Simple,Top,-1080
51,argyle vest,No,1440,360,Gray,White,Simple,Top,-1080
52,argyle vest,No,1440,360,Green,White,Simple,Top,-1080
53,athletic jacket,No,960,240,Red,White,Active,Top,-720
54,athletic jacket,No,960,240,Green,White,Active,Top,-720
55,athletic jacket,No,960,240,Black,White,Active,Top,-720
56,athletic jacket,No,960,240,Blue,White,Active,Top,-720
57,baggy shirt,No,0,10,Gray,Gray,Simple,Top,10
58,baggy shirt,No,0,10,Black,Black,Simple,Top,10
59,baggy shirt,No,0,10,Brown,Brown,Simple,Top,10
60,baseball shirt,No,1120,280,Blue,White,Active,Top,-840
61,baseball shirt,No,1120,280,Red,Black,Active,Top,-840
62,baseball shirt,No,1120,280,Gray,Blue,Active,Top,-840
63,baseball shirt,No,1120,280,Black,White,Active,Top,-840
64,baseball shirt,No,1120,280,White,Red,Active,Top,-840
65,baseball shirt,No,1120,280,Yellow,Black,Active,Top,-840
66,basketball tank,No,1120,280,Purple,Yellow,Active,Top,-840
67,basketball tank,No,1120,280,Red,Black,Active,Top,-840
68,basketball tank,No,1120,280,Green,Orange,Active,Top,-840
69,basketball tank,No,1120,280,Orange,Blue,Active,Top,-840
70,basketball tank,No,1120,280,Blue,Red,Active,Top,-840
71,basketball tank,No,1120,280,Yellow,Green,Active,Top,-840
72,basketball tank,No,1120,280,Light blue,Blue,Active,Top,-840
73,basketball tank,No,1120,280,Black,Red,Active,Top,-840
74,bear tee,No,800,200,Green,Brown,Active,Top,-600
75,big-star tee,No,560,140,Blue,Yellow,Simple,Top,-420
76,biker jacket,No,1750,437,Black,Black,Cool,Top,-1313
77,biker jacket,No,1750,437,Brown,Brown,Cool,Top,-1313
78,biker jacket,No,1750,437,Beige,Beige,Cool,Top,-1313
79,biker jacket,No,1750,437,Red,Red,Cool,Top,-1313
80,biker jacket,No,1750,437,Blue,Blue,Cool,Top,-1313
81,biker jacket,No,1750,437,Yellow,Yellow,Cool,Top,-1313
82,blossom tee,No,800,200,Pink,White,Cute,Top,-600
83,blossom tee,No,800,200,Light blue,White,Cute,Top,-600
84,blossom tee,No,800,200,Yellow,White,Cute,Top,-600
85,blossom tee,No,800,200,Green,White,Cute,Top,-600
86,blossom tee,No,800,200,Purple,White,Cute,Top,-600
87,boa blouson,No,1680,420,Purple,White,Cute,Top,-1260
88,boa blouson,No,1680,420,Beige,White,Cute,Top,-1260
89,boa blouson,No,1680,420,Blue,White,Cute,Top,-1260
90,boa blouson,No,1680,420,White,White,Cute,Top,-1260
91,boa fleece,No,1400,350,White,Blue,Active,Top,-1050
92,boa fleece,No,1400,350,Green,Black,Active,Top,-1050
